token	codepoint	ids	note
󐭽	U+D0B7D		
󐮗	U+D0B97		
󐯨	U+D0BE8		
󐱋	U+D0C4B		
󐳘	U+D0CD8		
󐳣	U+D0CE3		
󐴐	U+D0D10		
󐴔	U+D0D14		
󐵋	U+D0D4B		
󐵚	U+D0D5A		
󐵲	U+D0D72		
󐶓	U+D0D93		
󐷌	U+D0DCC		
󐷐	U+D0DD0		
󐷪	U+D0DEA		
󐸯	U+D0E2F		
󐹍	U+D0E4D		
󐼖	U+D0F16		
󐾶	U+D0FB6		
󐿵	U+D0FF5		
󑀉	U+D1009		
󑁙	U+D1059		
󑂏	U+D108F		
󑂗	U+D1097		
󑄂	U+D1102		
󑄧	U+D1127		
󑄱	U+D1131		
󑆍	U+D118D		
󑎙	U+D1399		
󑕘	U+D1558		
󑖔	U+D1594		
󑖩	U+D15A9		
󑛌	U+D16CC		
󑞡	U+D17A1		
󑡗	U+D1857		
󑡞	U+D185E		
󑡣	U+D1863		
󑡮	U+D186E		
󑢞	U+D189E		
󑣘	U+D18D8		
󑤕	U+D1915		
󑦣	U+D19A3		
󑧆	U+D19C6		
󑧡	U+D19E1		
󑨏	U+D1A0F		
󑨜	U+D1A1C		
󑨝	U+D1A1D		
󑩚	U+D1A5A		
󑪻	U+D1ABB		
󑿭	U+D1FED		
󰌇	U+F0307		
𿭅	U+3FB45		
񄮒	U+44B92		
񅋬	U+452EC		
񅝴	U+45774		
񍫼	U+4DAFC		
󐀤	U+D0024		
󐄾	U+D013E		
󐆭	U+D01AD		
󐇭	U+D01ED		
󐌀	U+D0300		
󐒞	U+D049E		
󐓾	U+D04FE		
󐔨	U+D0528		
󐖌	U+D058C		
󐗁	U+D05C1		
󐙰	U+D0670		
󐚇	U+D0687		
󐟗	U+D07D7		
󐣲	U+D08F2		
󐤰	U+D0930		
󐤳	U+D0933		
󐥋	U+D094B		
󐥌	U+D094C		
󐥣	U+D0963		
󐥥	U+D0965		
󐥿	U+D097F		
󐦙	U+D0999		
󐦨	U+D09A8		
󐦿	U+D09BF		
󐧉	U+D09C9		
󐧽	U+D09FD		
󐨸	U+D0A38		
󐨾	U+D0A3E		
󐩂	U+D0A42		
󐩅	U+D0A45		
󐩞	U+D0A5E		
󐩪	U+D0A6A		
󐩲	U+D0A72		
󐪴	U+D0AB4		
󐫁	U+D0AC1		
󐫇	U+D0AC7		
󐬪	U+D0B2A		
󐮁	U+D0B81		
󐮤	U+D0BA4		
󐯒	U+D0BD2		
󐯢	U+D0BE2		
󐯶	U+D0BF6		
󐰁	U+D0C01		
󐰇	U+D0C07		
󐱉	U+D0C49		
󐱷	U+D0C77		
󐱹	U+D0C79		
󐱺	U+D0C7A		
󐲠	U+D0CA0		
󐳬	U+D0CEC		
󐴒	U+D0D12		
󐴣	U+D0D23		
󐵃	U+D0D43		
󐵓	U+D0D53		
󐵸	U+D0D78		
󐵿	U+D0D7F		
󐶄	U+D0D84		
󐶋	U+D0D8B		
󐶚	U+D0D9A		
󐶞	U+D0D9E		
󐶻	U+D0DBB		
󐶽	U+D0DBD		
󐷼	U+D0DFC		
󐸻	U+D0E3B		
󐹇	U+D0E47		
󐹛	U+D0E5B		
󐹣	U+D0E63		
󐹸	U+D0E78		
󐻲	U+D0EF2		
󐽬	U+D0F6C		
󐽲	U+D0F72		
󐾝	U+D0F9D		
󐾟	U+D0F9F		
󐾠	U+D0FA0		
󐾬	U+D0FAC		
󐾸	U+D0FB8		
󐾹	U+D0FB9		
󐿍	U+D0FCD		
󐿗	U+D0FD7		
󐿿	U+D0FFF		
󑀋	U+D100B		
󑀍	U+D100D		
󑀏	U+D100F		
󑀠	U+D1020		
󑁒	U+D1052		
󑁕	U+D1055		
󑃘	U+D10D8		
󑃞	U+D10DE		
󑃽	U+D10FD		
󑄥	U+D1125		
󑄳	U+D1133		
󑅢	U+D1162		
󑅬	U+D116C		
󑆃	U+D1183		
󑇙	U+D11D9		
󑈌	U+D120C		
󑉬	U+D126C		
󑎋	U+D138B		
󑏨	U+D13E8		
󑐣	U+D1423		
󑑜	U+D145C		
󑑠	U+D1460		
󑑽	U+D147D		
󑓎	U+D14CE		
󑕂	U+D1542		
󑕃	U+D1543		
󑕅	U+D1545		
󑕆	U+D1546		
󑕇	U+D1547		
󑕿	U+D157F		
󑖞	U+D159E		
󑘵	U+D1635		
󑚈	U+D1688		
󑚌	U+D168C		
󑚝	U+D169D		
󑚶	U+D16B6		
󑛬	U+D16EC		
󑛯	U+D16EF		
󑛷	U+D16F7		
󑝁	U+D1741		
󑝏	U+D174F		
󑝑	U+D1751		
󑝒	U+D1752		
󑟂	U+D17C2		
󑟑	U+D17D1		
󑟙	U+D17D9		
󑟪	U+D17EA		
󑟯	U+D17EF		
󑟰	U+D17F0		
󑡒	U+D1852		
󑡡	U+D1861		
󑢂	U+D1882		
󑢉	U+D1889		
󑢒	U+D1892		
󑣌	U+D18CC		
󑣲	U+D18F2		
󑤆	U+D1906		
󑤈	U+D1908		
󑤿	U+D193F		
󑥗	U+D1957		
󑥙	U+D1959		
󑦆	U+D1986		
󑦺	U+D19BA		
󑧋	U+D19CB		
󑧚	U+D19DA		
󑧿	U+D19FF		
󑨇	U+D1A07		
󑨕	U+D1A15		
󑨦	U+D1A26		
󑨭	U+D1A2D		
󑩥	U+D1A65		
󑪡	U+D1AA1		
󑪴	U+D1AB4		
󑫊	U+D1ACA		
󑫒	U+D1AD2		
󑫞	U+D1ADE		
󑬷	U+D1B37		
󑭆	U+D1B46		
󑭳	U+D1B73		
󑭶	U+D1B76		
󑮨	U+D1BA8		
󑮾	U+D1BBE		
󑮿	U+D1BBF		
󑯙	U+D1BD9		
󑯝	U+D1BDD		
󑯼	U+D1BFC		
󰅇	U+F0147		
󰌓	U+F0313		
󰌖	U+F0316		
󰌙	U+F0319		
(cid:41329)	(cid:41329)		
(cid:41333)	(cid:41333)		
(cid:41398)	(cid:41398)		
𾉻	U+3E27B		
񄯫	U+44BEB		
񄴉	U+44D09		
񄼘	U+44F18		
񄽅	U+44F45		
񄿨	U+44FE8		
񅅝	U+4515D		
񅈝	U+4521D		
񅉘	U+45258		
񅏍	U+453CD		
񅑟	U+4545F		
񅙢	U+45662		
񅜰	U+45730		
񅞖	U+45796		
񅤈	U+45908		
񰇿	U+701FF		
󈦣	U+C89A3		
󐁻	U+D007B		
󐃌	U+D00CC		
󐄒	U+D0112		
󐇇	U+D01C7		
󐈌	U+D020C		
󐋇	U+D02C7		
󐋕	U+D02D5		
󐍃	U+D0343		
󐍎	U+D034E		
󐎐	U+D0390		
󐏎	U+D03CE		
󐐇	U+D0407		
󐐒	U+D0412		
󐐳	U+D0433		
󐑛	U+D045B		
󐑨	U+D0468		
󐑫	U+D046B		
󐒀	U+D0480		
󐚓	U+D0693		
󐜠	U+D0720		
󐣅	U+D08C5		
󐤅	U+D0905		
󐤐	U+D0910		
󐤚	U+D091A		
󐤯	U+D092F		
󐥕	U+D0955		
󐥟	U+D095F		
󐥪	U+D096A		
󐦒	U+D0992		
󐦝	U+D099D		
󐦠	U+D09A0		
󐦫	U+D09AB		
󐧀	U+D09C0		
󐧁	U+D09C1		
󐧇	U+D09C7		
󐧍	U+D09CD		
󐧕	U+D09D5		
󐧞	U+D09DE		
󐧱	U+D09F1		
󐧲	U+D09F2		
󐨂	U+D0A02		
󐨵	U+D0A35		
󐩃	U+D0A43		
󐩽	U+D0A7D		
󐪈	U+D0A88		
󐪔	U+D0A94		
󐪘	U+D0A98		
󐪛	U+D0A9B		
󐫔	U+D0AD4		
󐬒	U+D0B12		
󐬵	U+D0B35		
󐭅	U+D0B45		
󐭎	U+D0B4E		
󐭴	U+D0B74		
󐮉	U+D0B89		
󐮪	U+D0BAA		
󐯙	U+D0BD9		
󐯪	U+D0BEA		
󐰔	U+D0C14		
󐰘	U+D0C18		
󐰱	U+D0C31		
